year,artist,song,performer,quote,price_k,kind,currency,city,confidence,flags,note,source,id,genius_url,genius_id,genius_year,lyric_location,wiki_title,wiki_birth_place,wiki_origin,wiki_top_city,annotation_url,annotation_text,annotation_votes,image,image_source,song_art,inferred_city,inferred_basis,inferred_url,inferred_confidence,home_city,home_city_source
2014,KXNG Crooked,Fallen Rap Gods,KXNG Crooked,"For 22 a key, let me know if it's a go",22,sell,USD,"Long Beach, CA",high,,,lyric_search,66,https://genius.com/Kxng-crooked-fallen-rap-gods-lyrics,644212,2014,,Kxng Crooked,"Eastside, Long Beach, California, U.S",,Long Beach,https://genius.com/4620417,"Trust the KXNG when he says that he’s still got his roots in the hood. He can still get keys (kilograms) of drugs at lower prices than a regular person would have to pay, due to his connections and reputation.",1,img/artists/kxng-crooked-484.jpg,artist_photo,img/art/644212.jpg,,,,,"Long Beach, CA",curated
2014,TREY CHOPS,Stickers,TREY CHOPS,"Yeah, it's probably 40 for a key",40,quoted,USD,,medium,,,lyric_search,67,https://genius.com/Trey-chops-stickers-lyrics,6759022,2014,,,,,,,,,img/artists/trey-chops-155462.jpg,artist_photo,img/art/6759022.jpg,"Burlington, ON","Trey Chops' site bio: hails from Burlington, ON (he also has a track called 'Burlington Flow')",https://www.treychops.com/about,high,"Burlington, ON",inferred
2014,SpaceGhostPurrp & Dough2x,MunnieTrain7264,,"Stuntman bricks, 17.5, you know I got 'em",17.5,sell,USD,"Miami, FL",medium,,,lyric_search,68,https://genius.com/Spaceghostpurrp-and-dough2x-munnietrain7264-lyrics,6731854,2014,,SpaceGhostPurrp,,,Miami,https://genius.com/30520517,"This sample comes from Shawty Lo’s song “Got ’Em 4 the Lo,” featuring Stuntman and Gucci Mane.
https://youtu.be/IDWf0jpy4_Y?t=126",3,img/artists/spaceghostpurrp-12229.jpg,artist_photo,img/art/6731854.jpg,,,,,"Miami, FL",curated
2015,Gucci Mane,Still Selling Dope,Gucci Mane,"When a brick was twenty-six, it got me goddamn rich",26,quoted,USD,"Atlanta, GA",high,retrospective,,lyric_search,69,https://genius.com/Gucci-mane-still-selling-dope-lyrics,1877527,2015,,Gucci Mane,"Bessemer, Alabama, US","Atlanta, Georgia, US",Atlanta,,,,img/artists/gucci-mane-13.jpg,artist_photo,img/art/1877527.jpg,,,,,"Atlanta, GA",curated
2015,French Montana & Chris Brown,Antidote (Remix),French Montana,Talkin' back when bricks was fifteen,15,quoted,USD,"Bronx, NY",high,retrospective,,lyric_search,70,https://genius.com/French-montana-and-chris-brown-antidote-remix-lyrics,2320127,2015,,French Montana,"Casablanca, Morocco","The Bronx, New York City, U.S",New York,,,,img/artists/french-montana-1583.jpg,artist_photo,img/art/2320127.jpg,,,,,"Bronx, NY",curated
2015,Jadakiss,Critical,,Bought me two bricks call me 60 thou',30,buy,USD,"Yonkers, NY",high,,2 for 60 => 30 each,lyric_search,71,https://genius.com/Jadakiss-critical-lyrics,2347513,2015,,Jadakiss,"Yonkers, New York, U.S",,New York,,,,img/artists/jadakiss-34.jpg,artist_photo,img/art/2347513.jpg,,,,,"Yonkers, NY",curated
2015,Rick Ross,Neighborhood Drug Dealer (Remix),Rick Ross,I charge 90 a brick for a nigga,90,sell,USD,"Miami, FL",low,outlier;hyperbole,,lyric_search,72,https://genius.com/Rick-ross-neighborhood-drug-dealer-remix-lyrics,2154057,2015,,Rick Ross,"Clarksdale, Mississippi, U.S","Miami-Dade County, Florida, U.S",Miami,,,,img/artists/rick-ross-88.jpg,artist_photo,img/art/2154057.jpg,,,,,"Miami, FL",curated
2016,Killer Mike,Saks Fifth,Killer Mike,I don't really give a fuck they charging 30 for a key,30,buy,USD,"Atlanta, GA",high,,,lyric_search,73,https://genius.com/Killer-mike-saks-fifth-lyrics,2919184,2016,,Killer Mike,"Atlanta, Georgia, U.S",,Atlanta,,,,img/artists/killer-mike-547.jpg,artist_photo,img/art/2919184.jpg,,,,,"Atlanta, GA",curated
2016,Westside Gunn,Summerslam 88,Westside Gunn,"Two bricks for 50, that's a good look",25,buy,USD,"Buffalo, NY",high,,2 for 50 => 25 each,lyric_search,74,https://genius.com/Westside-gunn-summerslam-88-lyrics,4466622,2016,,Westside Gunn,"Buffalo, New York, U.S",,Paris,,,,img/artists/westside-gunn-451539.jpg,artist_photo,img/art/4466622.jpg,,,,,"Buffalo, NY",curated
2016,Yo Gotti,Mitch,Yo Gotti,"'Cause I'm money making Mitch, I want 30 for a brick",30,sell,USD,"Memphis, TN",high,,,lyric_search,75,https://genius.com/Yo-gotti-mitch-lyrics,2892829,2016,,Yo Gotti,"Memphis, Tennessee, U.S",,Memphis,,,,img/artists/yo-gotti-118.jpg,artist_photo,img/art/2892829.jpg,,,,,"Memphis, TN",curated
2016,K.I.D GuacamoleGodd,100 Clip,,Thirty K for a brick and we might make a route,30,quoted,USD,"Chicago, IL",medium,,,lyric_search,76,https://genius.com/Kid-guacamolegodd-100-clip-lyrics,8417468,2016,,,,,,,,,img/artists/k-i-d-guacamolegodd-1466953.jpg,artist_photo,img/art/8417468.jpg,,,,,"Chicago, IL",curated
2016,Baby E,Bando,,Sell a whole thing for 32 like magic,32,sell,USD,,medium,,,lyric_search,77,https://genius.com/Baby-e-bando-lyrics,2942286,2016,,,,,,https://genius.com/11161181,"Magic Johnson’s playing number was 32. It’s possible Hoody is selling his “white girl,” or cocaine, for $32,000.",0,img/artists/baby-e-11544.jpg,artist_photo,img/art/2942286.jpg,"Pensacola, FL","Young Money artist Baby E (Ethan Lowery) is from Pensacola, FL per LilWayneHQ and Rolling Stone; verse performer on 'Bando' unconfirmed",https://www.lilwaynehq.com/young-money-entertainment/baby-e/,high,"Pensacola, FL",inferred
2017,Migos,T-Shirt,Migos,"Seventeen five, same color T-shirt",17.5,quoted,USD,"Atlanta, GA",high,homage,nod to Jeezy's 17.5,lyric_search,78,https://genius.com/Migos-t-shirt-lyrics,2948140,2017,,Migos,,"Lawrenceville, Georgia, U.S",Atlanta,https://genius.com/11129795,"Quavo obviously didn’t listen to his mama—he’s selling work (a.k.a. drugs).

“Seventeen five” is a reference to a 2005 lyric by late Atlanta rap icon Shawty Lo, from D4L’s underground hit “I’m Da Man.” In the original song, Lo said:

And you know I keep work
Seventeen five, same color t-shirt

“Seventeen five” is a reference to cocaine prices. Buying a kilo for the low price of $17,500 implies you",726,img/artists/migos-44080.jpg,artist_photo,img/art/2948140.jpg,,,,,"Atlanta, GA",curated
2017,Future,Scrape,Future,Throw half a brick at Magic / 18-5 on a Monday,18.5,quoted,USD,"Atlanta, GA",medium,,,lyric_search,79,https://genius.com/Future-scrape-lyrics,2989271,2017,,Future (rapper),"Atlanta, Georgia, U.S",,Atlanta,,,,img/artists/future-2197.jpg,artist_photo,img/art/2989271.jpg,,,,,"Atlanta, GA",curated
2017,Philthy Rich,Another One,Philthy Rich,"Thirty thou for a brick of soft, man fuck it",30,quoted,USD,"Oakland, CA",high,,,lyric_search,80,https://genius.com/Philthy-rich-another-one-lyrics,3607904,2017,,Philthy Rich,"Seminary, East Oakland, Oakland, California, U.S",,Oakland,,,,img/artists/philthy-rich-29745.jpg,artist_photo,img/art/3607904.jpg,,,,,"Oakland, CA",curated
2017,Hoodrich Pablo Juan,Servin & Swervin,Hoodrich Pablo Juan,Sell you a bird for the 30,30,sell,USD,"Atlanta, GA",high,,,lyric_search,81,https://genius.com/Hoodrich-pablo-juan-servin-and-swervin-lyrics,2960262,2017,,Hoodrich Pablo Juan,"Newark, New Jersey, U.S","Atlanta, Georgia, U.S",,,,,img/artists/hoodrich-pablo-juan-234513.jpg,artist_photo,img/art/2960262.jpg,,,,,"Atlanta, GA",curated
2017,Loso Loaded,Shot Callin,,Thirty-six for a brick,36,sell,USD,"Atlanta, GA",high,,,lyric_search,82,https://genius.com/Loso-loaded-shot-callin-lyrics,3359074,2017,,,,,,,,,img/artists/loso-loaded-994553.jpg,artist_photo,img/art/3359074.jpg,,,,,"Atlanta, GA",curated
2017,SprngBrk,Tuh,O.T. Genasis,"Thirty for a brick, low (Real low, tuh)",30,sell,USD,"Long Beach, CA",medium,,,lyric_search,83,https://genius.com/Sprngbrk-tuh-lyrics,3470684,2017,,O. T. Genasis,"Long Beach, California, U.S",,Los Angeles,,,,img/artists/o-t-genasis-154225.jpg,artist_photo,img/art/3470684.jpg,,,,,"Long Beach, CA",curated
2017,Juicy J,One Of Them,Juicy J,Three 6 for the whole thing,36,sell,USD,"Memphis, TN",high,,pun on Three 6 Mafia,lyric_search,84,https://genius.com/Juicy-j-one-of-them-lyrics,3088403,2017,,Juicy J,"Memphis, Tennessee, U.S",,Houston,,,,img/artists/juicy-j-1073.jpg,artist_photo,img/art/3088403.jpg,,,,,"Memphis, TN",curated
2018,Young Scooter,No Features,,"Twenty-six a brick, you can them LeVeon",26,quoted,USD,"Atlanta, GA",high,,,lyric_search,85,https://genius.com/Young-scooter-no-features-lyrics,4138144,2018,,Young Scooter,"Walterboro, South Carolina, U.S","Atlanta, Georgia, U.S",Atlanta,,,,img/artists/young-scooter-23552.jpg,artist_photo,img/art/4138144.jpg,,,,,"Atlanta, GA",curated
2018,Deniro Farrar,Key To The Door,Deniro Farrar,"Whole thing for the 41, just bought a choppa",41,quoted,USD,"Charlotte, NC",high,,,lyric_search,86,https://genius.com/Deniro-farrar-key-to-the-door-lyrics,3740532,2018,,Deniro Farrar,"Charlotte, North Carolina, U.S",,Charlotte,,,,img/artists/deniro-farrar-37913.jpg,artist_photo,img/art/3740532.jpg,,,,,"Charlotte, NC",curated
2019,Freddie Gibbs & Madlib,Fake Names,Freddie Gibbs,They was getting shit for seventeen / Tossin' shit to me for twenty-eight / Bricks go for thirty-one,31,sell,USD,"Gary, IN",high,,supply chain: 17 -> 28 -> 31,lyric_search,87,https://genius.com/Freddie-gibbs-and-madlib-fake-names-lyrics,4655066,2019,,Freddie Gibbs,"Gary, Indiana, U.S",,Gary,,,,img/artists/freddie-gibbs-939.jpg,artist_photo,img/art/4655066.jpg,,,,,"Gary, IN",curated
2019,LOM Rudy,Fuck Rap,,How I'ma eat? I heard the bricks went up to 38,38,quoted,USD,"Detroit, MI",high,,,lyric_search,88,https://genius.com/Lom-rudy-fuck-rap-lyrics,7622766,2019,,,,,,,,,img/artists/lom-rudy-2037203.jpg,artist_photo,img/art/7622766.jpg,,,,,"Detroit, MI",curated
2019,Leeky Bandz,Picasso,,It's thirty-five for a brick,35,quoted,USD,"Atlanta, GA",high,,,lyric_search,89,https://genius.com/Leeky-bandz-picasso-lyrics,5004333,2019,,,,,,,,,img/artists/leeky-bandz-1029369.jpg,artist_photo,img/art/5004333.jpg,,,,,"Atlanta, GA",curated
2019,OJ da Juiceman,Bricks & Pots,OJ da Juiceman,"36 cost 30 flat, chopping bricks like lumberjacks",30,buy,USD,"Atlanta, GA",high,,,lyric_search,90,https://genius.com/Oj-da-juiceman-bricks-and-pots-lyrics,4733526,2019,,OJ da Juiceman,,"Atlanta, Georgia, U.S",Atlanta,,,,img/artists/oj-da-juiceman-260.jpg,artist_photo,img/art/4733526.jpg,,,,,"Atlanta, GA",curated
2019,Peso Peso,Da Bottom,Peso Peso,"Got it for twenty-five, then I charge thirty for the brick",30,sell,USD,"Houston, TX",high,,"buys at 25, sells at 30",lyric_search,91,https://genius.com/Peso-peso-da-bottom-lyrics,4694928,2019,,,,,,,,,img/artists/peso-peso-1736703.jpg,artist_photo,img/art/4694928.jpg,,,,,"Houston, TX",curated
2019,Stack Bundles,Stand Up,Stack Bundles,"Twenty-two a brick, twenty-two on whips",22,quoted,USD,"Queens, NY",medium,posthumous,Stack Bundles died in 2007; recorded before then,lyric_search,92,https://genius.com/Stack-bundles-stand-up-lyrics,4623726,2019,,,,,,,,,img/artists/stack-bundles-207.jpg,artist_photo,img/art/4623726.jpg,,,,,"Queens, NY",curated
2019,Westside Gunn,Never Give Up,,Used to pay eighteen-five for the whole thing,18.5,buy,USD,,high,retrospective,,lyric_search,93,https://genius.com/Westside-gunn-never-give-up-lyrics,4973013,2019,,Westside Gunn,"Buffalo, New York, U.S",,Paris,,,,img/artists/westside-gunn-451539.jpg,artist_photo,img/art/4973013.jpg,,,,,Paris,wiki_top_city
2019,Cookie Money,No Forfeit,Cookie Money,"Twenty dollars for a solid, 30 thousand a key",30,quoted,USD,"Oakland, CA",high,,,lyric_search,94,https://genius.com/Cookie-money-no-forfeit-lyrics,4241414,2019,,,,,,,,,img/artists/cookie-money-93788.jpg,artist_photo,img/art/4241414.jpg,,,,,"Oakland, CA",curated
2020,Westside Gunn,Allah Sent Me,,"Ayo, I miss the days when bricks was only nineteen",19,quoted,USD,"Buffalo, NY",high,retrospective,,lyric_search,95,https://genius.com/Westside-gunn-allah-sent-me-lyrics,5410416,2020,,Westside Gunn,"Buffalo, New York, U.S",,Paris,https://genius.com/38030357,“brick” is slang for cocaine,1,img/artists/westside-gunn-451539.jpg,artist_photo,img/art/5410416.jpg,,,,,"Buffalo, NY",curated
2020,EST Gee,Members Only,EST Gee,"Thirty bricks for thirty-three a piece, I'm tryna grab",33,buy,USD,"Louisville, KY",high,,,lyric_search,96,https://genius.com/Est-gee-members-only-lyrics,6285130,2020,,EST Gee,,,Louisville,,,,img/artists/est-gee-1780510.jpg,artist_photo,img/art/6285130.jpg,,,,,"Louisville, KY",curated
2020,EST Gee,Get Money,,"Say 'Forty', I ain't talkin' bout a strap, but a key",40,quoted,USD,"Louisville, KY",high,,,lyric_search,97,https://genius.com/Est-gee-get-money-lyrics,6285126,2020,,EST Gee,,,Louisville,,,,img/artists/est-gee-1780510.jpg,artist_photo,img/art/6285126.jpg,,,,,"Louisville, KY",curated
2020,Haftbefehl & Gucci Mane,Ice,Gucci Mane,"Bricks go for thirty-three, my bricks still in puberty",33,sell,USD,"Atlanta, GA",high,,,lyric_search,98,https://genius.com/Haftbefehl-and-gucci-mane-ice-lyrics,4683346,2020,,Gucci Mane,"Bessemer, Alabama, US","Atlanta, Georgia, US",Atlanta,https://genius.com/20214591,"Bricks= 1kg einer Droge, unabhängig der Art. Gucci spricht davon, dass Bricks gewöhnlich thirty three, also 33 Tausend €/$ kosten, er aber mit sernem “pubertären” Preis von 16.5 Tausend €/$ den Markt überflutet.",3,img/artists/gucci-mane-13.jpg,artist_photo,img/art/4683346.jpg,,,,,"Atlanta, GA",curated
2020,ILL BILL,WATCH THE CITY BURN,,"Fluffy duffel bags, eighteen thousand a brick",18,quoted,USD,"Brooklyn, NY",medium,,,lyric_search,99,https://genius.com/Ill-bill-watch-the-city-burn-lyrics,5819266,2020,,Ill Bill,"New York City, U.S",,New York City,,,,img/artists/ill-bill-1780.jpg,artist_photo,img/art/5819266.jpg,,,,,"Brooklyn, NY",curated
2020,Nuk & Rio Da Yung OG,Opioid,,"A hundred pack, twenty for a brick, plug from Lebanese",20,quoted,USD,"Flint, MI",high,,,lyric_search,100,https://genius.com/Nuk-and-rio-da-yung-og-opioid-lyrics,5885035,2020,,,,,,,,,img/artists/nuk-1115594.jpg,artist_photo,img/art/5885035.jpg,,,,,"Flint, MI",curated
2020,Yo Gotti,Stay Ur Distance,Yo Gotti,"Bricks, spent forty a piece",40,buy,USD,"Memphis, TN",high,,,lyric_search,101,https://genius.com/Yo-gotti-stay-ur-distance-lyrics,5904875,2020,,Yo Gotti,"Memphis, Tennessee, U.S",,Memphis,https://genius.com/21521993,"42 Dugg signed to Yo Gotti’s CMG label in collaboration with Lil Baby’s 4PF in March 2019.  Dugg rose to prominence in early 2020 with the release of Lil Baby’s Grace, and as his popularity grew, so did his rates for laying down a guest feature on a track.",0,img/artists/yo-gotti-118.jpg,artist_photo,img/art/5904875.jpg,,,,,"Memphis, TN",curated
2020,38 Spesh,Home Game,38 Spesh,I still pay 38 for the whole thing,38,buy,USD,"Rochester, NY",high,,,lyric_search,102,https://genius.com/38-spesh-home-game-lyrics,6263868,2020,,38 Spesh,"Rochester, New York, US",,Rochester,,,,img/artists/38-spesh-185316.jpg,artist_photo,img/art/6263868.jpg,,,,,"Rochester, NY",curated
2020,GrindHard E,Against The Wall,,You said thirty-six for a brick,36,quoted,USD,"Flint, MI",medium,,,lyric_search,103,https://genius.com/Grindhard-e-against-the-wall-lyrics,5948167,2020,,,,,,,,,img/artists/grindhard-e-2249925.jpg,artist_photo,img/art/5948167.jpg,,,,,"Flint, MI",curated
2020,Fate Gryndhouse,Don't Run Off On The Plug,Fate Gryndhouse,Say u wanna brick 33 the price,33,sell,USD,,medium,,,lyric_search,104,https://genius.com/Fate-gryndhouse-dont-run-off-on-the-plug-lyrics,5481652,2020,,,,,,,,,img/art/5481652.jpg,song_art,img/art/5481652.jpg,"Philadelphia, PA","Single write-up: 'Philadelphia artist Fate just dropped Don't Run Off On The Plug'; collaborators AR-Ab, Razor, Doe Stacks are Philly rappers",https://nervedjsmixtapes.com/singles/Don_tRunOffOnThePlug-437980.htm,high,"Philadelphia, PA",inferred
2020,Future,Life Is Good (Remix),Lil Baby,"Spent thirty racks on a rap bitch, could've went and bought a brick, woah",30,quoted,USD,"Atlanta, GA",medium,derived,"30 racks equated to a brick; price implied by the comparison, not stated outright",lyric_search,105,https://genius.com/Future-life-is-good-remix-lyrics,5255606,2020,,,,,,,,,img/artists/lil-baby-1110328.jpg,artist_photo,img/art/5255606.jpg,,,,,"Atlanta, GA",curated
2021,Icewear Vezzo,5 Mill,Icewear Vezzo,"Fetti takin' two, can get a brick for twenty-one",21,buy,USD,"Detroit, MI",high,,,lyric_search,106,https://genius.com/Icewear-vezzo-5-mill-lyrics,7190129,2021,,Icewear Vezzo,"Minneapolis, Minnesota, U.S","Detroit, Michigan, U.S",Detroit,,,,img/artists/icewear-vezzo-52797.jpg,artist_photo,img/art/7190129.jpg,,,,,"Detroit, MI",curated
2021,Rick Ross,Little Havana,Rick Ross,"Thirty-six a brick, baby, here it is",36,sell,USD,"Miami, FL",high,,,lyric_search,107,https://genius.com/Rick-ross-little-havana-lyrics,7452613,2021,"Little Havana, Miami, FL (title)",Rick Ross,"Clarksdale, Mississippi, U.S","Miami-Dade County, Florida, U.S",Miami,,,,img/artists/rick-ross-88.jpg,artist_photo,img/art/7452613.jpg,,,,,"Little Havana, Miami, FL (title)",lyric
2021,Westside Gunn,Peri Peri,Rome Streetz,"When bricks was thirty-five, mines was thirty-two firm",32,sell,USD,"New York, NY",high,retrospective,"market 35, his 32",lyric_search,108,https://genius.com/Westside-gunn-peri-peri-lyrics,7143201,2021,,Rome Streetz,"London, United Kingdom","Queens, New York, US",London,,,,img/artists/rome-streetz-1575401.jpg,artist_photo,img/art/7143201.jpg,,,,,"New York, NY",curated
2021,3MFrench,Lizzie McGuire,,"The plug, he told me, ""That price is regular, forty thousand for a brick""",40,buy,USD,,high,,,lyric_search,109,https://genius.com/3mfrench-lizzie-mcguire-lyrics,7277521,2021,,,,,,,,,img/artists/3mfrench-1897764.jpg,artist_photo,img/art/7277521.jpg,"Toronto, ON","Genius bio and Complex: 3MFrench is from Chester Le in Scarborough, Toronto's east end",https://www.complex.com/music/a/akeena-legall/3mfrench-has-love-for-his-community-and-shade-for-toronto-sun,high,"Toronto, ON",inferred
2021,Call Me Schosa,Schotivation,Call Me Schosa,That's plug talk on vacations for 28 a key,28,quoted,USD,,medium,,,lyric_search,110,https://genius.com/Call-me-schosa-schotivation-lyrics,7190156,2021,,,,,,,,,img/artists/call-me-schosa-2877866.jpg,artist_photo,img/art/7190156.jpg,"Beaver Falls, PA","Genius and SoundCloud bios: rapper from Beaver Falls, PA ('Fallz Town'); the song was cut at The Rap Cave in Pittsburgh",https://soundcloud.com/callmeschosa,high,"Beaver Falls, PA",inferred
2021,Peezy,"I'm Good, Pt. 6",Peezy,"Forty on the watch, that's a motherfuckin' square (A brick)",40,quoted,USD,"Detroit, MI",medium,,,lyric_search,111,https://genius.com/Peezy-im-good-pt-6-lyrics,6962658,2021,,,,,,,,,img/artists/peezy-64242.jpg,artist_photo,img/art/6962658.jpg,,,,,"Detroit, MI",curated
2021,Fredo,I Miss,Fredo,I miss when them bricks were twenty-eight,28,quoted,GBP,"London, UK",high,retrospective,,lyric_search,112,https://genius.com/Fredo-i-miss-lyrics,6417451,2021,,Fredo (rapper),,"Mozart Estate, Kilburn, London, England",London,,,,img/artists/fredo-667872.jpg,artist_photo,img/art/6417451.jpg,,,,,"London, UK",curated
2021,ArrDee,Plugged In Freestyle,ArrDee,Me and Mitch was splitting up a key for thirty,30,buy,GBP,"Brighton, UK",medium,,,lyric_search,113,https://genius.com/Arrdee-arrdee-plugged-in-freestyle-lyrics,6713020,2021,,ArrDee,"Brighton, England",,Brighton,,,,img/artists/arrdee-2607138.jpg,artist_photo,img/art/6713020.jpg,,,,,"Brighton, UK",curated
2021,Country Dons,Daily Duppy,,"40 for a key, and you know I ain't a locksmith",40,quoted,GBP,"London, UK",high,,,lyric_search,114,https://genius.com/Country-dons-daily-duppy-lyrics,7505893,2021,,,,,,,,,img/artists/country-dons-2054804.jpg,artist_photo,img/art/7505893.jpg,,,,,"London, UK",curated
2021,ACE (UK Drill) & Kwengface,Slowly,,"Fifty on a brick, that's overpriced",50,quoted,GBP,"London, UK",high,,rapper calls it overpriced,lyric_search,115,https://genius.com/Ace-uk-drill-and-kwengface-slowly-lyrics,7300790,2021,,,,,,,,,img/artists/ace-uk-drill-2919704.jpg,artist_photo,img/art/7300790.jpg,,,,,"London, UK",curated
2022,"Yo Gotti, 42 Dugg & EST Gee",Cold Gangsta,,"The price went high, it's thirty a brick",30,quoted,USD,"Memphis, TN",high,,,lyric_search,116,https://genius.com/Yo-gotti-42-dugg-and-est-gee-cold-gangsta-lyrics,7662709,2022,,Yo Gotti,"Memphis, Tennessee, U.S",,Memphis,,,,img/artists/yo-gotti-118.jpg,artist_photo,img/art/7662709.jpg,,,,,"Memphis, TN",curated
2022,Drego & Beno,Slatt Season 5,,I paid twenty thousand for the brick,20,buy,USD,"Detroit, MI",high,,,lyric_search,117,https://genius.com/Drego-and-beno-slatt-season-5-lyrics,8269994,2022,,,,,,,,,img/artists/drego-beno-1495381.jpg,artist_photo,img/art/8269994.jpg,,,,,"Detroit, MI",curated
2022,Real Boston Richey,Dawggy,Real Boston Richey,But birds go for thirty-two,32,sell,USD,"Tallahassee, FL",high,,,lyric_search,118,https://genius.com/Real-boston-richey-dawggy-lyrics,8314249,2022,,Real Boston Richey,"Tallahassee, Florida, U.S",,Boston,,,,img/artists/real-boston-richey-3029330.jpg,artist_photo,img/art/8314249.jpg,,,,,"Tallahassee, FL",curated
2022,Knowledge The Pirate & Big Ghost Ltd,Sweetwater,Knowledge The Pirate,Bricks of that raw for thirty,30,sell,USD,"New York, NY",high,,,lyric_search,119,https://genius.com/Knowledge-the-pirate-and-big-ghost-ltd-sweetwater-lyrics,8194580,2022,,,,,,,,,img/artists/knowledge-the-pirate-29034.jpg,artist_photo,img/art/8194580.jpg,,,,,"New York, NY",curated
2022,3MFrench,Gaza,,Thirty a brick if you really get two off,30,sell,USD,,medium,,,lyric_search,120,https://genius.com/3mfrench-gaza-lyrics,8300821,2022,,,,,,,,,img/artists/3mfrench-1897764.jpg,artist_photo,img/art/8300821.jpg,"Toronto, ON","Genius bio and Complex: 3MFrench is from Chester Le in Scarborough, Toronto's east end",https://www.complex.com/music/a/akeena-legall/3mfrench-has-love-for-his-community-and-shade-for-toronto-sun,high,"Toronto, ON",inferred
2022,Lil Jairmy,SRT,,Back when bricks was seventy-K,70,quoted,USD,"Baytown, TX",low,retrospective;outlier,,lyric_search,121,https://genius.com/Lil-jairmy-srt-lyrics,8368064,2022,,Lil Jairmy,"Baytown, Texas U.S",,Houston,,,,img/artists/lil-jairmy-614478.jpg,artist_photo,img/art/8368064.jpg,,,,,"Baytown, TX",curated
2023,M Huncho,where you been?,M Huncho,"Twenty-nine thousand for a brick, today",29,quoted,GBP,"London, UK",high,,,lyric_search,122,https://genius.com/M-huncho-where-you-been-lyrics,9456781,2023,,M Huncho,"London, England",,London,,,,img/artists/m-huncho-1181389.jpg,artist_photo,img/art/9456781.jpg,,,,,"London, UK",curated
2023,Conway the Machine & Wun Two,Bianca,Conway the Machine,"My nigga got 10 bricks, 33 a piece",33,quoted,USD,"Buffalo, NY",high,,,lyric_search,123,https://genius.com/Conway-the-machine-and-wun-two-bianca-lyrics,9671888,2023,,Conway the Machine,"Buffalo, New York, U.S",,London,,,,img/artists/conway-the-machine-53774.jpg,artist_photo,img/art/9671888.jpg,,,,,"Buffalo, NY",curated
2023,Fatt Macc,Box God,Fatt Macc,"Twenty-five a brick, exotic bags got my line hot",25,sell,USD,,medium,,,lyric_search,124,https://genius.com/Fatt-macc-box-god-lyrics,9571935,2023,,,,,,,,,img/artists/fatt-macc-3247100.jpg,artist_photo,img/art/9571935.jpg,"Montgomery, AL","Trapaganda artist page lists hometown Montgomery, AL; AllMusic calls Fatt Macc a Montgomery street rapper",https://trapaganda.com/artist/fatt-macc,high,"Montgomery, AL",inferred
2023,YOUNG JR,On Babies,,"My brick cost twenty-five, shoes 850",25,buy,USD,,medium,,,lyric_search,125,https://genius.com/Young-jr-on-babies-lyrics,8624720,2023,,,,,,,,,img/artists/young-jr-53722.jpg,artist_photo,img/art/8624720.jpg,"Oakland, CA",SoundCloud bio: 'Underground Artist From Oakland Ca'; feature D-Lo is also Oakland,https://m.soundcloud.com/young-jr-7,high,"Oakland, CA",inferred
2023,Young Shiners & EST DonWon,One of One,,Twenty for a brick and it was raw,20,quoted,USD,,medium,,,lyric_search,126,https://genius.com/Young-shiners-and-est-donwon-one-of-one-lyrics,9324906,2023,,,,,,,,,img/artists/young-shiners-3593254.jpg,artist_photo,img/art/9324906.jpg,"Louisville, KY","'One of One' is on EST Gee's Young Shiners label compilation; the roster, EST DonWon included, is Louisville artists. Which member raps the line is unconfirmed",https://thesource.com/2023/07/07/est-gee-launches-young-shiners-label-in-partnership-with-santa-anna-releases-est-skimikes-disrespect/,medium,"Louisville, KY",inferred
2023,"Why G, Bundog & Money Musik",Expendables,,Twenty-two for that snow,22,quoted,CAD,"Toronto, ON",medium,,,lyric_search,127,https://genius.com/Why-g-bundog-and-money-musik-expendables-lyrics,9212197,2023,,,,,,,,,img/artists/why-g-653133.jpg,artist_photo,img/art/9212197.jpg,,,,,"Toronto, ON",curated
2024,Dimiko,Leave The Door Open,Dimiko,I can make it snow 20.5 for a key,20.5,sell,USD,,medium,,,lyric_search,128,https://genius.com/Dimiko-leave-the-door-open-lyrics,10020865,2024,,,,,,,,,img/artists/dimiko-2612214.jpg,artist_photo,img/art/10020865.jpg,"Chicago, IL",SoundCloud location Chicago; Nosebag Media calls Dimiko a Chicago-native artist,https://m.soundcloud.com/dimikoo,high,"Chicago, IL",inferred
2024,YN Jay,US 23,,"Plugged in, twenty-seven for a brick in Houston",27,buy,USD,"Flint, MI",high,,,lyric_search,129,https://genius.com/Yn-jay-us-23-lyrics,10561793,2024,"Houston, TX",YN Jay,"Flint, Michigan, U.S","Mount Morris Township, Michigan, U.S",Detroit,,,,img/artists/yn-jay-2210460.jpg,artist_photo,img/art/10561793.jpg,,,,,"Houston, TX",lyric
2024,Meekz,Manny,Meekz,"Thirty for a brick, couple milli' for a tape",30,quoted,GBP,"Manchester, UK",high,,,lyric_search,130,https://genius.com/Meekz-manny-lyrics,10392940,2024,,Meekz,"Gorton, Manchester, England","Harpurhey, Manchester, England",Manchester,,,,img/artists/meekz-1978726.jpg,artist_photo,img/art/10392940.jpg,,,,,"Manchester, UK",curated
2024,Morrisson,Daily Duppy (2024),Morrisson,Give me thirty for a brick of sniff,30,sell,GBP,"London, UK",high,,,lyric_search,131,https://genius.com/Morrisson-daily-duppy-2024-lyrics,10652392,2024,,Morrisson (rapper),"Newham, London, England",,,,,,img/artists/morrisson-1398098.jpg,artist_photo,img/art/10652392.jpg,,,,,"London, UK",curated
